"","등록번호","조사기관","조사의뢰자","시작일","종료일"
"1",8838,"PNR·피플네트웍스","프라임경제신문",2022-02-02,2022-02-03
"2",8837,"리서치뷰","UPI뉴스",2022-02-01,2022-02-03
"3",8828,"서던포스트","CBS",2022-01-28,2022-01-29
"4",8817,"리얼미터","오마이뉴스",2022-01-23,2022-01-28
"5",8807,"PNR·피플네트웍스","프라임경제신문",2022-01-26,2022-01-27
"6",8800,"리서치뷰","UPI뉴스",2022-01-25,2022-01-27
"7",8786,"엠브레인","전국지표조사(NBS)",2022-01-24,2022-01-26
"8",8783,"리처치앤리서치","채널A",2022-01-23,2022-01-25
"9",8779,"넥스트리서치","세계일보",2022-01-24,2022-01-25
"10",8772,"엠브레인","문화일보",2022-01-24,2022-01-25
"11",8734,"서던포스트","CBS",2022-01-21,2022-01-22
