"","등록번호","조사기관","조사의뢰자","시작일","종료일"
"1",8466,"리얼미터","오마이뉴스",2021-12-05,2021-12-10
"2",8456,"아시아리서치앤컨설팅","스포츠서울",2021-12-07,2021-12-07
"3",8455,"케이스탯리서치","전국지표조사(NBS)",2021-12-06,2021-12-08
"4",8454,"한국사회여론연구소(KSOI)","국민일보",2021-12-06,2021-12-07
"5",8452,"한국갤럽","머니투데이",2021-12-06,2021-12-07
"6",8440,"여론조사공정","데일리안",2021-12-03,2021-12-04
"7",8435,"PNR·피플네트웍스","뉴데일리",2021-12-03,2021-12-04
"8",8432,"리얼미터","오마이뉴스",2021-11-29,2021-12-03
"9",8428,"엠브레인","전국지표조사(NBS)",2021-11-29,2021-12-01
"10",8423,"리서치뷰","리서치뷰",2021-11-27,2021-11-30
"11",8404,"넥스트리서치","SBS",2021-11-27,2021-11-28
